name,party,here,registered,absent,for,against,abstain,no-vote
ДИМИТЪР НИКОЛОВ ГАМИШЕВ,ГЕРБ,81,0,41,2288,393,99,766
НОНА КРЪСТЕВА ЙОТОВА,ПГБСП,291,20,115,3011,708,951,6584
ДЕСИСЛАВА ВЪЛЧЕВА АТАНАСОВА,ГЕРБ,113,44,269,4802,674,322,5456
ЕМИЛ ДИМИТРОВ СИМЕОНОВ,ОП,289,13,51,4132,453,448,4493
КРИСТИАН ИВАНОВ ВИГЕНИН,ПГБСП,105,44,277,1729,438,464,8623
РОСЕН МАЛИНОВ МАЛИНОВ,БСП,56,3,25,517,175,322,1095
СТОЯН ХРИСТОВ ПАСЕВ,ГЕРБ,4,0,5,100,19,9,12
БОРИС ЯНКОВ ЯЧЕВ,ОП,116,67,243,2594,360,308,7992
ВАЛЕНТИН ГЕОРГИЕВ ЛАМБЕВ,ПГБСП,186,24,216,1477,432,415,8930
ДАНАИЛ ДИМИТРОВ КИРИЛОВ,ГЕРБ,193,4,68,3874,626,295,2674
МИХАИЛ ИВАЙЛОВ ХРИСТОВ,ПГБСП,54,115,257,675,241,175,10163
СТАНИСЛАВ ИВАНОВ ВЛАДИМИРОВ,ПГБСП,140,31,161,2974,780,930,4164
НЕДЯЛКО ЖИВКОВ СЛАВОВ,ГЕРБ,6,0,3,97,11,15,17
ДЕЛЯН СЛАВЧЕВ ПЕЕВСКИ,ДПС,4,1,421,5,0,0,11249
ИГЛИКА ИВАНОВА ИВАНОВА-СЪБЕВА,ГЕРБ,309,2,106,7684,1014,456,1960
НИКОЛАЙ ЦВЕТАНОВ СИРАКОВ,ГЕРБ,361,3,62,7942,730,798,1784
ПЕТЯ ЦВЕТАНОВА АВРАМОВА,ГЕРБ,52,1,127,3323,214,477,883
ТАСКО МИХАЙЛОВ ЕРМЕНКОВ,ПГБСП,276,18,132,2914,755,723,6862
ВЛАДИСЛАВ ИВАНОВ ГОРАНОВ,ГЕРБ,8,0,0,76,21,4,24
АТАНАС ПЕТРОВ КОСТАДИНОВ,ПГБСП,96,78,252,1543,475,481,8755
МУСТАФА САЛИ КАРАДАЙЪ,ДПС,111,105,210,583,112,200,10359
ПЕТЪР БОЙКОВ ВИТАНОВ,ПГБСП,117,27,148,2687,635,876,3960
ПОЛИНА ЦВЕТОСЛАВОВА ЦАНКОВА-ХРИСТОВА,ВОЛЯ,315,14,97,4183,127,699,6245
РУСЛАН ЗДРАВКОВ ТОШЕВ,ГЕРБ,185,12,117,4882,175,821,2831
ВЛАДИСЛАВ ТОШКОВ НИКОЛОВ,ГЕРБ,396,4,26,7193,982,377,2702
ГЕОРГИ ЯНЧЕВ ГЬОКОВ,ПГБСП,325,7,94,2877,870,788,6719
ДИМИТЪР ВЕЛИЧКОВ ГЕОРГИЕВ,ПГБСП,209,33,184,1908,543,507,8296
КИРИЛ БОЯНОВ КАЛФИН,ГЕРБ,305,2,119,5328,692,329,4905
НИКОЛАЙ АСЕНОВ ТИШЕВ,ПГБСП,168,34,224,1553,471,536,8694
НИКОЛАЙ КРЪСТЕВ БОШКИЛОВ,ПГБСП,265,7,154,2145,483,498,8128
ЖЕЛЬО ИВАНОВ БОЙЧЕВ,ПГБСП,190,19,217,1790,479,467,8518
ВАЛЕНТИН ИВАНОВ РАДЕВ,ГЕРБ,194,0,60,3028,271,410,2773
ПЛАМЕН ТРИФОНОВ ХРИСТОВ,ВОЛЯ,116,90,220,1961,95,411,8787
ДЕАН СТОЯНОВ СТАНЧЕВ,ОП,64,1,7,825,67,60,725
АЛЕКСАНДЪР  РУМЕНОВ НЕНКОВ,ГЕРБ,3,0,0,12,0,0,0
АЛЕКСАНДЪР ДИМИТРОВ МАНОЛЕВ,ГЕРБ,4,1,4,97,17,7,19
ВАСИЛ МИЛАНОВ АНТОНОВ,ПГБСП,290,4,132,1526,466,520,8742
КРАСИМИР ЛЮБОМИРОВ ВЕЛЧЕВ,ГЕРБ,150,7,269,4626,691,325,5612
НАДЯ СПАСОВА КЛИСУРСКА-ЖЕКОВА,ПГБСП,177,22,227,2536,634,777,7307
РАМАДАН БАЙРАМ АТАЛАЙ,ДПС,185,15,226,776,152,208,10118
СТЕФАН АПОСТОЛОВ АПОСТОЛОВ,ГЕРБ,149,0,277,6570,471,855,3358
КАЛИН ЛЮБЕНОВ ВЕЛЬОВ,ГЕРБ,5,2,2,107,10,8,27
ДАНИЕЛА ВЛАДИМИРОВА САВЕКЛИЕВА,ГЕРБ,153,1,272,6998,867,476,2913
ПАВЕЛ ДИМИТРОВ ШОПОВ,ОП,339,13,74,3159,355,304,7436
ВАЛЕНТИН МИРЧОВ МИЛУШЕВ,ГЕРБ,236,4,186,7977,968,579,1730
ЕРОЛ ОСМАН МЕХМЕД,ДПС,303,2,121,4803,473,769,5209
ПАВЕЛ АЛЕКСЕЕВ ХРИСТОВ,ГЕРБ,300,8,118,7595,983,475,2201
РУМЕН НИКОЛОВ ГЕОРГИЕВ,ПГБСП,327,3,96,5290,1195,1801,2968
ХРИСТО ГРУДЕВ ГРУДЕВ,ГЕРБ,231,3,98,5769,60,982,2037
АЛЕКСАНДЪР НИКОЛАЕВ САБАНОВ,ОП,246,9,171,2005,172,288,8789
ГАЛЯ ЕНЕВА ЗАХАРИЕВА,ГЕРБ,249,3,174,7679,936,464,2175
ГЕОРГИ ЙОРДАНОВ ЙОРДАНОВ,ПГБСП,266,3,157,1505,529,466,8754
СИМЕОН ГЕОРГИЕВ НАЙДЕНОВ,ВОЛЯ,313,13,100,4105,122,679,6348
